Variable,Description,SurveyQuestion,NaturalLanguageClause
natfare,welfare,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? K. Welfare",how much money to spend on welfare
natfarey,assistance to the poor:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? K. Assistance to the poor",how much money to spend on assistance to the poor
natheal,improving & protecting nations health,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? C. Improving and protecting the nation's health",how much money to spend on improving and protecting the nation's health
nathealy,health:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? C. Health",how much money to spend on health
natmass,mass transportation,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? N. Mass Transportation",how much money to spend on mass transportation
natpark,parks and recreation,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? O. Parks and recreation",how much money to spend on parks and recreation
natrace,Improving the conditions of Black people,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)?H. Improving the conditions of Black people.",how much money to spend on improving the conditions of Black people
natracey,Assistance to Black people: version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)?H. Assistance to Black people.",how much money to spend on assistance to Black people
natroad,highways and bridges,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? L. Highways and bridges",how much money to spend on highways and bridges
natsci,supporting scientific research,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? Q. Supporting scientific research",how much money to spend on supporting scientific research
natsoc,social security,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? M. Social Security",how much money to spend on social security
natspac,space exploration program,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? A. Space exploration program",how much money to spend on the space exploration program
natspacy,space exploration:version y,"We are faced with many problems in this country, none of which can be solved easily or inexpensively. I'm going to name some of these problems, and for each one I'd like you to tell me whether you think we're spending too much money on it, too little money, or about the right amount. First (READ ITEM A) . . . are we spending too much, too little, or about the right amount on (ITEM)? A. Space exploration",how much money to spend on space exploration
nextgen,science & tech. give more opportunities to next generation,"I'm going to read to you some statements like those you might find in a newspaper or magazine article. For each statement, please tell me if you strongly agree, agree, disagree, or strongly disagree. A. Because of science and technology, there will be more opportunities for the next generation.",whether science and technology will give more opportunities to the next generation
oprace,need to be right race to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . I. A person''s race -- how important is that?,how important being the right race is for getting ahead in life
opsex,need to be right sex to get ahead,Please show for each of these how important you think it is for getting ahead in life . . . L. Being born a man or a woman -- how important is that for getting ahead in life?,how important being born a man or woman is for getting ahead in life
polviews,think of self as liberal or conservative,A. We hear a lot of talk these days about liberals and conservatives. I'm going to show you a seven-point scale on which the political views that people might hold are arranged from extremely liberal--point 1--to extremely conservative--point 7. Where would you place yourself on this scale?,where to place oneself on the liberal to conservative scale
pillok,birth control to teenagers 14-16,"C. Do you strongly agree, agree, disagree, or strongly disagree that methods of birth control should be available to teenagers between the ages of 14 and 16 if their parents do not approve?",whether birth control should be available to teenagers without parental approval
sexeduc,sex education in public schools,Would you be for or against sex education in the public schools?,whether to favor or oppose sex education in public schools
prayer,bible prayer in public schools,A. The United States Supreme Court has ruled that no state or local government may require the reading of the Lord's Prayer or Bible verses in public schools. What are your views on this--do you approve or disapprove of the court ruling?,whether to approve or disapprove of the Supreme Court ruling against Bible prayer in public schools
religinf,the u.s. would be a better country if religion had less influence,Do you agree or disagree with the following statements? C. The U.S. would be a better country if religion had less influence.,whether the United States would be better if religion had less influence
racdif1,differences due to discrimination,"On the average Black people have worse jobs, income, and housing than white people. Do you think these differences are . . . A. Mainly due to discrimination?",whether differences in jobs income and housing between Black people and white people are mainly due to discrimination
racdif2,differences due to in-born learning ability,"On the average Black people have worse jobs, income, and housing than white people. Do you think these differences are . . . B. Because most Black people have less in-born ability to learn?",whether differences between Black people and white people are due to inborn ability
racdif3,differences due to lack of education,"On the average Black people have worse jobs, income, and housing than white people.Do you think these differences are . . .C. Because most Black people don't have the chance for education that it takes to rise out of poverty?",whether differences between Black people and white people are due to lack of education
racdif4,differences due to lack of will,"On the average Black people have worse jobs, income, and housing than white people.Do you think these differences are . . .D. Because most Black people just don't have the motivation or will power to pull themselves up out of poverty?",whether differences between Black people and white people are due to lack of motivation or willpower
racopen,vote on open housing law,"Suppose there is a community-wide vote on the general housing issue. There are two possible laws to vote on: One law says that a homeowner can decide whom to sell his house to, even if that homeowner prefers not to sell to someone because of their race or color. The second law says that a homeowner cannot refuse to sell to someone because of their race or color. Which law would you vote for?",whether to vote for a law allowing homeowners to refuse to sell based on race or one prohibiting such refusal
intlwhts,unintelligent -intelligent,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. D. Do people in these groups tend to be unintelligent or tend to be intelligent? 1. Where would you rate whites in general on this scale?",how intelligent white people tend to be
wlthwhts,rich - poor,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. 1. Where would you rate whites in general on this scale?",how wealthy white people tend to be
workwhts,hard working - lazy,"Now I have some questions about different groups in our society. I'm going to show you a seven-point scale on which the characteristics of people in a group can be rated. In the first statement a score of 1 means that you think almost all of the people in that group are ""rich."" A score of 7 means that you think almost everyone in the group are ""poor."" A score of 4 means you think that the group is not towards one end or another, and of course you may choose any number In between that comes closest to where you think people in the group stand. B. The second set of characteristics asks if people in the group tend to be hard-working or if they tend to be lazy. 1. Where would you rate whites in general on this scale?",how hardworking white people tend to be
spkath,allow anti-religionist to speak,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion . . . A. If such a person wanted to make a speech in your (city/town/community) against churches and religion, should he be allowed to speak, or not?",whether an anti-religious person should be allowed to make a speech
spkathy,allow anti-religionist to speak y,"There are always some people whose ideas are considered bad or dangerous by other people. For instance, somebody who is against all churches and religion... If such a person wanted to make a speech in your community against churches and religion, should this person be allowed to speak, or not?",whether an anti-religious person should be allowed to make a speech
spkcom,allow communist to speak,"Now, I should like to ask you some questions about a man who admits he is a Communist. A. Suppose this admitted Communist wanted to make a speech in your community. Should he be allowed to speak, or not?",whether a communist should be allowed to make a speech
spkcomy,allow communist to speak y,"Now, we would like to ask you some questions about a self-identified Communist. Suppose this admitted Communist wanted to make a speech in your community. Should this person be allowed to speak, or not?",whether a communist should be allowed to make a speech
spkhomo,allow homosexual to speak,"And what about a man who admits that he is a homosexual? A. Suppose this admitted homosexual wanted to make a speech in your community. Should he be allowed to speak, or not?",whether a homosexual person should be allowed to make a speech
spkhomoy,allow homosexual to speak y,"And what about a gay person? Suppose this gay person wanted to make a speech in your community. Should this person be allowed to speak, or not?",whether a gay person should be allowed to make a speech
spkmil,allow militarist to speak,"Consider a person who advocates doing away with elections and letting the military run the country. A. If such a person wanted to make a speech in your community, should he be allowed to speak, or not?",whether a person advocating military rule should be allowed to make a speech
spkmily,allow militarist to speak y,"Consider a person who advocates doing away with elections and letting the military run the country. If such a person wanted to make a speech in your community, should this person be allowed to speak, or not?",whether a person advocating military rule should be allowed to make a speech
spkmslm,allow muslim clergymen preaching hatred of the us,"Now consider a Muslim clergyman who preaches hatred of the United States. A. If such a person wanted to make a speech in your community preaching hatred of the United States, should he be allowed to speak, or not?",whether a Muslim clergyman who preaches hatred of the United States should be allowed to make a speech
spkmslmy,allow muslim clergymen preaching hatred of the us y,"Now consider a Islamic religious leader who preaches hatred of the United States. If such a person wanted to make a speech in your community preaching hatred of the United States, should this person be allowed to speak, or not?",whether an Islamic religious leader who preaches hatred of the United States should be allowed to make a speech
spkrac,allow racist to speak,"Or consider a person who believes that Black people are genetically inferior... A. If such a person wanted to make a speech in your community claiming that Black people are inferior, should he be allowed to speak, or not?",whether a person who believes Black people are inferior should be allowed to make a speech
spkracy,allow racist to speak y,"Or consider a person who believes that Black people are genetically inferior… If such a person wanted to make a speech in your community claiming that Black people are inferior, should this person be allowed to speak, or not?",whether a person who believes Black people are inferior should be allowed to make a speech
tax,r's federal income tax,"Do you consider the amount of federal income tax which you have to pay as too high, about right, or too low?",whether the amount of federal income tax paid is too high about right or too low
